objid_DR7,objid_spec,redshift,redshift_err,u,u_err,u_ext,g,g_err,g_ext,r,r_err,r_ext,i,i_err,i_ext,z,z_err,z_ext,u_abs,g_abs,r_abs,i_abs,z_abs,gr_raw,gr_CMc,Dcolour_gr,Dcolour_gr_err,IAU_name,ICID,Type,stretch
587730847691047799,276352160164216832,0.146213,0.0,19.813826,0.11911,19.381534,18.718107,0.016038,18.40003,17.882223,0.012084,17.651527,17.414461,0.011854,17.239531,17.248293,0.046328,17.124266,-19.9419754553,-20.9629624553,-21.5699414553,-21.8328086753,-21.9967298553,0.606979,0.606979,-0.146737662131,0.0200808490856,2007js,SN17605,SNIa,1.0792001
587730848501203452,278041388392644608,0.034125,0.0,18.900076,0.231071,18.528286,17.383087,0.021291,17.109527,16.791374,0.015412,16.592966,16.525307,0.023806,16.37486,16.360603,0.071969,16.253934,-17.52694372,-18.84938242,-19.38679702,-19.53176982,-19.6672676,0.5374146,0.5374146,-0.175095761719,0.0262837673289,2006op,SN16692,SNIa,\N
587731172231872692,276633767026622464,0.129456,0.0,20.383167,0.271203,19.911202,18.178398,0.019109,17.831131,17.012451,0.01049,16.760584,16.509989,0.011211,16.319006,16.162836,0.027046,16.027426,-19.4017263728,-21.4125103728,-22.2117403728,-22.5909863728,-22.8384724728,0.79923,0.79923,0.033399545226,0.0217989444928,2007ph,SN20350,SNIa,0.69919816
587731172233183337,277196613804359680,0.139347,0.0,19.33165,0.122268,18.919634,17.927759,0.017726,17.624602,17.213821,0.008696437,16.993946,16.722397,0.013634,16.555672,16.605749,0.045255,16.487539,-20.4124732781,-21.5783312781,-22.1414932781,-22.3559565781,-22.5429720781,0.563162,0.563162,-0.201342558585,0.0197443433037,2007hz,SN17366,SNIa,1.0462227
587731172767368214,276352159623151616,0.147452,0.0,19.244671,0.076081,18.860705,18.132311,0.010709,17.849792,17.46487,0.009455391,17.259964,17.123556,0.011869,16.968182,16.958778,0.036326,16.848616,-20.4380183989,-21.4508143989,-21.9120041989,-22.0420938989,-22.2093939989,0.4611898,0.4611898,-0.298983210115,0.0142859056403,2006ex,SN12930,SNIa,1.1787101
587731173306008275,276915143554629632,0.174996,0.0,22.116608,1.051578,21.607111,19.068718,0.027352,18.693835,17.813372,0.01715,17.541476,17.280382,0.015703,17.074211,16.840265,0.041308,16.694087,-18.5858862065,-21.3710712065,-22.1441782065,-22.4954902065,-22.8559812065,0.773107,0.773107,0.00855176406904,0.032283965122,2006ni,SN15648,SNIa,0.83048074
587731174914786124,276352160420069376,0.07999,0.0,19.849791,0.520486,19.354113,17.260666,0.018638,16.895951,16.428022,0.011304,16.1635,16.117353,0.018845,15.916774,16.075315,0.068548,15.933102,-18.641856936,-21.027011936,-21.682436936,-21.839768786,-21.842940936,0.655425,0.655425,-0.100414985947,0.0217980609229,2006fd,SN12779,SNIa,0.940870928
587731185114350067,278604100822630400,0.167045,0.0,20.420958,0.221994,20.188601,18.559557,0.019959,18.388591,17.485395,0.010858,17.361396,17.131962,0.011961,17.037938,16.716398,0.030245,16.649733,-19.679482909,-21.451387909,-22.153293909,-22.371764409,-22.733989709,0.701906,0.701906,-0.0628212925158,0.022721308171,2006fa,SN12843,SNIa,0.886375935
587731185121951943,106621507127476224,0.128777,0.0,19.36482,0.113196,19.079148,18.171368,0.019063,17.961173,17.455355,0.013263,17.302904,17.04921,0.014996,16.933611,16.654839,0.038485,16.572878,-19.8861140007,-21.0425330007,-21.6208460007,-21.9188138007,-22.2795025007,0.578313,0.578313,-0.176364472582,0.0232229442147,2006nd,SN16069,SNIa,1.0886161
587731185126539408,108027472934600704,0.082712,0.0,18.890001,0.068821,18.663481,17.989498,0.014714,17.822827,17.656223,0.014471,17.535339,17.344835,0.018057,17.253172,17.332836,0.065666,17.267846,-19.2768217334,-20.0571485334,-20.3912054334,-20.4313977334,-20.5513586334,0.3340569,0.3340569,-0.397411417111,0.0206376267289,2006fy,SN12950,SNIa,0.956633954
587731185129554046,108871768785027072,0.105007,0.0,19.455807,0.23781,19.295882,17.885303,0.051309,17.767632,16.947027,0.036694,16.861682,16.431091,0.050519,16.366377,16.040297,0.062459,15.994414,-19.3755911454,-20.8643141454,-21.6720541454,-22.0785464454,-22.4581428454,0.80774,0.80774,0.0520959866062,0.0630798154484,2007om,SN20064,SNIa,1.0755407
587731185132568670,109998150277660672,0.084307,0.0,19.202806,0.138283,19.055872,17.420059,0.013545,17.311946,16.485279,0.007887647,16.406867,16.061157,0.008928195,16.001699,15.815539,0.026527,15.773383,-19.1320809243,-20.8092979243,-21.5726099243,-21.9290245243,-22.1461117243,0.763312,0.763312,0.00954497118981,0.0156742463996,2006er,SN12781,SNIa,0.79504341
587731185668849933,109716224404881408,0.104644,0.0,19.810411,0.202021,19.665345,17.86697,0.027227,17.760232,16.839441,0.023538,16.762026,16.397938,0.025657,16.339236,16.032728,0.031335,15.991108,-19.0804179832,-20.9213879832,-21.7228549832,-22.0962686832,-22.4147747832,0.801467,0.801467,0.0448641336097,0.0359909290377,2006fz,SN13135,SNIa,0.84551959
587731185669505187,110279119215788032,0.108174,0.0,18.893915,0.117297,18.767886,17.844856,0.015197,17.752125,17.185921,0.013411,17.118665,16.782225,0.014128,16.731227,16.509686,0.045757,16.473528,-19.8006614069,-20.8400364069,-21.4253664069,-21.7062122069,-21.9976298069,0.58533,0.58533,-0.165657844569,0.0202682937121,2007px,SN20625,SNIa,0.973860847
587731186195366060,106340029780983808,0.057912,0.0,19.886744,0.144515,19.576822,18.533497,0.016126,18.30546,17.627796,0.01156,17.462404,17.221853,0.012228,17.096441,16.906202,0.037444,16.817284,-17.6599137158,-18.9080257158,-19.6656966158,-20.0094043158,-20.2774825158,0.7576709,0.7576709,0.0398963787766,0.0198414081154,2006py,SN14318,SNIa,\N
587731186197332148,107182936901550080,0.045435,0.0,17.927563,0.043927,17.650318,16.676235,0.008167636,16.472241,16.144655,0.009256948,15.996701,15.84688,0.009385212,15.734691,15.685004,0.024556,15.605461,-19.0202168559,-20.1141115559,-20.6111534559,-20.7816374559,-20.9380675259,0.4970419,0.4970419,-0.238577880543,0.0123450947385,2005ku,SN10805,SNIa,1.526
587731187278872773,109434742654369792,0.199326,0.0,20.232647,0.283602,20.092128,18.767176,0.035958,18.663783,17.643072,0.021954,17.568083,17.126989,0.023767,17.070127,16.654293,0.049693,16.613977,-20.1402239736,-21.6652979736,-22.4562149736,-22.8307529736,-23.2840079736,0.790917,0.790917,0.0204721488164,0.0421302252546,2006jz,SN15222,SNIa,0.85228092
587731511537959123,113938421461811200,0.043166,0.0,17.50404,0.063339,17.323924,16.607344,0.013715,16.474816,16.213793,0.008355613,16.117673,16.083319,0.017153,16.010434,16.055353,0.05638,16.003677,-19.1857178408,-19.9706313408,-20.3366037408,-20.3864319408,-20.4003153408,0.3659724,0.3659724,-0.364465323939,0.016059809887,2007qd,SN20208,SNIa,0.68253291
587731511546806433,117034638769127424,0.06708,0.0,19.008781,0.132274,18.406028,17.74333,0.019626,17.29983,17.206583,0.013557,16.88492,16.895817,0.021681,16.65191,16.725792,0.054971,16.552859,-19.1119689771,-20.1410117771,-20.5509626771,-20.6727654771,-20.8111848771,0.4099509,0.4099509,-0.324532794779,0.0238531365862,2005if,SN6057,SNIa,0.947965777
587731512071028897,112812556577406976,0.079608,0.0,19.265219,0.115264,19.100089,17.290449,0.017361,17.168948,16.347437,0.017099,16.259314,15.91335,0.015604,15.846529,15.585755,0.018575,15.538378,-18.9558890264,-20.8182550264,-21.5983410264,-21.9638361264,-22.2644199264,0.780086,0.780086,0.0258333031296,0.0243676039446,2005js,SN6295,SNIa,0.62319927
587731512075812865,114219913870049280,0.143697,0.0,18.551758,0.049675,18.366819,17.601864,0.007720511,17.465788,17.062464,0.007228803,16.96377,16.659477,0.006836868,16.58464,16.577724,0.021532,16.524664,-20.8408481141,-21.7376181141,-22.1986661141,-22.3442303141,-22.5484494141,0.461048,0.461048,-0.30453568144,0.0105764778123,2004ia,SN30,NaN,NaN
587731512617992332,115908768050446336,0.107197,0.0,20.284538,0.259364,19.918811,18.332859,0.018018,18.06376,17.342712,0.013961,17.147539,16.919617,0.013529,16.771623,16.687439,0.033335,16.58251,-18.8680075827,-20.6404085827,-21.3667875827,-21.6732156827,-21.8408726827,0.726379,0.726379,-0.0235031840411,0.0227938115505,2004il,SN191,NaN,NaN
587731512621465722,117034637716357120,0.087138,0.0,19.886171,0.207692,19.475537,18.520172,0.025912,18.218032,17.796642,0.017238,17.577505,17.251627,0.019399,17.085462,16.833168,0.044003,16.715355,-18.6380915308,-19.8697795308,-20.5368165308,-20.8965828308,-21.3294338308,0.667037,0.667037,-0.0671796898369,0.031122024163,INDET,SN17134,NaN,NaN
587731513142214757,111968021290942464,0.06535,0.0,19.059162,0.067461,18.929018,17.29171,0.023275,17.195952,16.468094,0.02006,16.398642,16.090549,0.02072,16.037886,15.794536,0.023357,15.757197,-18.6448873844,-20.2959123844,-21.0095583844,-21.3122035844,-21.5988508844,0.713646,0.713646,-0.0294935730516,0.0307266858773,2005kt,SN10028,SNIa?,0.86896864
587731513142542420,111968021597126656,0.045426,0.0,18.140184,0.05796,17.985484,16.528963,0.005668634,16.415136,15.771955,0.004668418,15.689398,15.401853,0.004552699,15.339253,15.109873,0.013474,15.065489,-18.7182871732,-20.2187741732,-20.9157985732,-21.2179979732,-21.4973126732,0.6970244,0.6970244,-0.0443454802706,0.00734353716193,2006hx,SN14279,SNIa,0.96559927
587731513142608150,112249474637627392,0.047796,0.0,18.811201,0.142687,18.633852,16.829062,0.007988062,16.69857,16.033806,0.006293015,15.939162,15.648841,0.006512725,15.577076,15.426473,0.02362,15.37559,-18.1942733525,-20.0610293525,-20.7744315525,-21.0930462525,-21.2961131525,0.7134022,0.7134022,-0.0252994134216,0.0101691283946,2004hu,SN15,NaN,NaN
587731513143328955,112531069491740672,0.131846,0.0,20.224365,0.242626,20.054552,18.739054,0.021242,18.614107,17.696672,0.017463,17.60605,17.258112,0.0168,17.189396,16.992298,0.044693,16.943578,-19.272411413,-20.645397413,-21.391744413,-21.734325013,-21.943468813,0.746347,0.746347,-0.00400623791649,0.0274987078424,2006fv,SN12907,SNIa,0.80447974
587731513146671215,113375392210878464,0.059182,0.0,17.187948,0.084337,17.017478,15.125743,0.007175564,15.000313,14.29982,0.007553859,14.208848,13.881594,0.008466139,13.812613,13.781498,0.017277,13.732589,-20.3119915593,-22.2594405593,-22.9704835593,-23.3196866593,-23.3990293593,0.711043,0.711043,-0.0691085409895,0.0104187093495,2006ob,SN16392,SNIa,\N
587731513427624076,349819130574012416,0.030946,0.0,18.343945,0.09228,17.56029,17.781301,0.034168,17.204695,17.217142,0.021284,16.79894,17.023714,0.025505,16.706604,16.874928,0.09527,16.650093,-18.1634376086,-18.5031680776,-18.9522328086,-18.9859230086,-19.0565496756,0.449064731,0.449064731,-0.255243340868,0.0402549485157,2006rz,SN17135,NaN,NaN
587731513679610009,112249474310471680,0.086614,0.0,18.984356,0.110446,18.831084,17.428885,0.011362,17.316109,16.789896,0.008947154,16.708102,16.422441,0.010882,16.360419,16.141005,0.027583,16.09703,-19.3397635201,-20.7632815201,-21.3333885201,-21.5551314201,-21.8687602201,0.570107,0.570107,-0.179144785161,0.0144619019738,2005gb,SN3592,SNIa,0.975030571
587731513679675512,112249474377580544,0.076363,0.0,18.58152,0.074014,18.42374,17.435719,0.010601,17.319626,16.910141,0.010148,16.825941,16.565149,0.011866,16.501303,16.355995,0.031922,16.310727,-19.3867686034,-20.4309054034,-20.9216993034,-21.1263772034,-21.3719993034,0.4907939,0.4907939,-0.250687355064,0.014675254853,2005ir,SN7876,SNIa,1.0456235
587731513693569205,116472201342877696,0.132225,0.0,20.015083,0.195969,19.429386,18.43261,0.023894,18.00166,17.307301,0.01395,16.99474,16.82095,0.021238,16.583945,16.405205,0.034818,16.237165,-19.8256467072,-21.2571247072,-22.0170557072,-22.3623892072,-22.6702355072,0.759931,0.759931,-0.00222483082947,0.0276681357522,2007mi,SN18809,SNIa,0.86907029
587731514222116993,113938423806427136,0.17498,0.0,19.635216,0.322508,19.489109,17.946177,0.024114,17.838673,16.933498,0.015346,16.855527,16.468164,0.015653,16.409041,16.253237,0.041961,16.211318,-20.6130307242,-22.1142797242,-22.7912357242,-23.0859822242,-23.3055405242,0.676956,0.676956,-0.099812283326,0.028582944425,2006ia,SN14421,SNIa,0.930105123
587731514227818648,115908769099022336,0.072698,0.0,19.096724,0.141532,18.698881,17.69364,0.013483,17.400911,17.122339,0.012096,16.910027,16.738583,0.013824,16.577593,16.503067,0.039261,16.388923,-19.0433754192,-20.2410934192,-20.7420525192,-20.9292359192,-21.1889307192,0.5009591,0.5009591,-0.237131367337,0.0181136552082,2007jd,SN17880,SNIa,0.900469761
587731514231816228,117034639985475584,0.040748,0.0,17.138514,0.041877,16.604014,15.2866,0.009101968,14.89332,14.365647,0.009173797,14.080408,13.900877,0.009318585,13.684589,13.567659,0.008968665,13.414308,-19.8476181785,-21.5146181785,-22.2747800785,-22.6485295785,-22.9117121785,0.7601619,0.7601619,-0.00685841331431,0.0129230171736,2007jh,SN17886,SNIa,0.81257108
587731514232209584,117316118586064896,0.181371,0.0,20.056482,0.4234,19.512924,18.601913,0.038867,18.201968,17.679932,0.021147,17.389859,17.164202,0.026422,16.944248,17.12075,0.086792,16.9648,-20.6171402383,-21.7303602383,-22.3133862383,-22.5422294383,-22.6184877383,0.583026,0.583026,-0.18472299484,0.0442474778716,2007hy,SN17215,SNIa,1.0256894
588015507661783172,110279118435647488,0.013001,0.0,16.391691,0.084621,16.273957,14.957734,0.021063,14.871106,14.477668,0.004397722,14.414838,14.353305,0.020244,14.305663,14.771511,0.102984,14.737732,-17.610129178,-18.960806138,-19.424312778,-19.512752648,-19.082564208,0.46350664,0.46350664,-0.249711822186,0.0215172007424,2005hk,SN8151,SNIa,0.85738696
588015507672137965,113938422632022016,0.136914,0.0,19.292652,0.115117,19.148102,17.790911,0.014919,17.684552,17.024414,0.012507,16.947274,16.592625,0.009643293,16.534132,16.351974,0.02598,16.310502,-20.1887523438,-21.5282233438,-22.1460723438,-22.3899400338,-22.6748816438,0.617849,0.617849,-0.146741987295,0.019467963684,2007jw,SN17629,SNIa,0.956773268
588015508206518484,113093894618480640,0.161531,0.0,20.08217,0.274683,19.910458,18.477125,0.027682,18.350781,17.341326,0.016556,17.249691,16.88159,0.018992,16.812106,16.544888,0.031362,16.495623,-20.0058084956,-21.4709774956,-22.2257044956,-22.5642174956,-22.8510909956,0.754727,0.754727,-0.0113670240688,0.0322551431558,2005fa,SN2689,SNIa,1.1354072
588015508211368141,114501617104977920,0.113229,0.0,19.176083,0.144747,18.986706,18.32066,0.022695,18.181318,17.746086,0.0185,17.645024,17.410408,0.020923,17.333775,17.176617,0.067426,17.122284,-19.6195227892,-20.4750611892,-20.9555536892,-21.1747530692,-21.4065795892,0.4804925,0.4804925,-0.261627748055,0.0292799082137,2007ou,SN19626,SNIa,1.2880106
588015508215431379,115908768897695744,0.182805,0.0,19.90659,0.10009,19.276682,18.748533,0.01353,18.285053,17.822191,0.010171,17.486037,17.293812,0.009408812,17.038916,16.992832,0.020634,16.812108,-20.5582812947,-21.6359222947,-22.2623332947,-22.5490020947,-22.8441182947,0.626411,0.626411,-0.14037438341,0.0169266104404,2005fb,SN1580,SNIa,1.0786758
588015509274427469,110842119828013056,0.11641,0.0,18.352581,0.156836,18.256284,16.484077,0.012576,16.413223,15.454669,0.010723,15.40328,15.026207,0.010508,14.98724,14.747053,0.022959,14.719425,-20.7591051192,-22.5376341192,-23.3123091192,-23.6747027192,-23.9017064192,0.774675,0.774675,-0.0119284121906,0.0165269024623,2006gf,SN12979,SNIa?,0.83690716
588015509275869191,111405024235487232,0.062864,0.0,18.94095,0.212468,18.811679,17.548822,0.012926,17.453705,17.290426,0.01458,17.22144,17.059904,0.020875,17.007594,16.852249,0.084812,16.81516,-18.5560744948,-19.8102949948,-20.1003190948,-20.1000234948,-20.3962149948,0.2900241,0.2900241,-0.43595381086,0.0194848114181,2005ho,SN3901,SNIa,1.0992198
588015509283078244,113938423504437248,0.077057,0.0,18.780922,0.138229,18.649696,17.54133,0.018813,17.444775,16.833368,0.01794,16.763339,16.37924,0.016131,16.326139,16.09716,0.055113,16.059511,-19.2063189106,-20.3744409106,-21.0439449106,-21.3768733106,-21.6880597106,0.669504,0.669504,-0.0742846100579,0.025995625959,2007mn,SN19155,SNIa,1.1199243
588015509285634176,114501618858196992,0.165514,0.0,19.575176,0.137338,19.429747,18.447733,0.017195,18.340728,17.684803,0.01494,17.607194,17.285826,0.014382,17.226977,16.989918,0.048236,16.948194,-20.1641609578,-21.3050909578,-21.8850739578,-22.1328726578,-22.4506889578,0.579983,0.579983,-0.179681708608,0.022778753807,2007ok,SN19616,SNIa,1.0208209
588015509292319354,117034639083700224,0.03714,0.0,19.105196,0.273555,18.558746,18.3762,0.049522,17.974127,17.73975,0.0303,17.448133,17.700851,0.063168,17.479727,16.802057,0.124098,16.645277,-17.599890652,-18.156098352,-18.693617952,-18.614107812,-19.454443842,0.5375196,0.5375196,-0.161907181698,0.058056166632,2007jg,SN17784,SNIa,0.90566643
588015509293760750,117316119018078208,0.131017,0.0,19.143866,0.124237,18.681178,17.736328,0.012123,17.395887,17.022009,0.008773263,16.775093,16.651306,0.011723,16.464077,16.401207,0.037742,16.268459,-20.4113443117,-21.6522873117,-22.1553653117,-22.3280592117,-22.5521198217,0.503078,0.503078,-0.261688389719,0.0149645338273,2007ia,SN17280,SNIa,\N
588015509801599099,107745991167311872,0.119071,0.0,20.065147,0.194741,19.832556,18.471727,0.022062,18.300589,17.464539,0.014571,17.340415,17.016769,0.016898,16.92265,16.69083,0.031486,16.624098,-19.2091346873,-20.6810486873,-21.4312176873,-21.7795335873,-22.0509039873,0.750169,0.750169,-0.000929286009855,0.0264394758836,2005fh,SN1371,SNIa,1.0743102
588015509811626061,111124107092819968,0.115054,0.0,18.919596,0.108459,18.784323,17.864122,0.01653,17.764589,17.086752,0.011711,17.014563,16.691143,0.015268,16.636404,16.473804,0.042887,16.434993,-19.9442521954,-21.0276921954,-21.6561181954,-21.9463997954,-22.1501305954,0.628426,0.628426,-0.126917226358,0.0202580458337,2007lc,SN18612,SNIa,0.917942005
588015509814313038,111968021601320960,0.046621,0.0,19.465534,0.281696,19.30172,17.518061,0.024385,17.397528,16.736883,0.013089,16.649463,16.223061,0.015588,16.156773,15.840866,0.042671,15.793867,-17.5252230811,-19.2874147811,-20.0685430811,-20.4683846811,-20.8609944811,0.7811283,0.7811283,0.0557501533815,0.0276758043424,2006ne,SN16215,SNIa,0.917855014
588015510339256459,108027474561990656,0.118475,0.0,19.83255,0.326023,19.627059,17.477215,0.015465,17.326017,16.448639,0.011505,16.338977,15.975287,0.013319,15.892134,15.622282,0.024189,15.563325,-19.4411770177,-21.6585290177,-22.4398170177,-22.8130208177,-23.1194366177,0.781288,0.781288,0.0111526560968,0.0192751459138,2007lv,SN18643,NaN,NaN
588015510339649629,108027475287605248,0.119124,0.0,19.574741,0.266894,19.388396,17.518194,0.018726,17.381083,16.45153,0.018344,16.352086,16.048935,0.019025,15.973529,15.755466,0.028575,15.702003,-19.6841338056,-21.6316668056,-22.4047808056,-22.7337799056,-22.9553496056,0.773114,0.773114,0.00363995576065,0.026213840085,2006ol,SN16259,SNIa,0.83044543
588015510363373783,115908770143404032,0.11841,0.0,19.937246,0.346791,19.542444,18.613018,0.040429,18.322526,17.731661,0.02115,17.520972,17.338696,0.039342,17.178937,16.925648,0.061646,16.812377,-19.2926030081,-20.5560180081,-21.2082280081,-21.5045747081,-21.8378832081,0.65221,0.65221,-0.0946794120749,0.0456270373901,2005fv,SN2561,SNIa,0.983614432
